Title,Company,Company Link,Date Posted,Job Link,Insights,Description Snippet
Business Management Intern,QCP,,2024-02-21,https://sg.linkedin.com/jobs/view/business-management-intern-at-qcp-3836035926?position=16&pageNum=0&refId=Tvtz9nXHpP3rcD6YENldsQ%3D%3D&trackingId=CJSbrv9KRXo9KDFFYxYkaA%3D%3D&trk=public_jobs_jserp-result_search-card,[],"Established in 2017, QCP Capital is a digital assets trading firm and global market maker in options, headquartered in Singapore.

As one of the first digital assets trading firms in Singapore, QCP Capital brings to clients deep expertise gained from thriving through multiple market cycles. Our mission is to unlock new opportunities for clients at the forefront of crypto markets through providing institutional-grade liquidity, infrastructure and research.

An active early-stage crypto and blockc"
Project Support Intern,the LEGO Group,,2024-02-29,https://sg.linkedin.com/jobs/view/project-support-intern-at-the-lego-group-3840709613?position=17&pageNum=0&refId=Tvtz9nXHpP3rcD6YENldsQ%3D%3D&trackingId=iLuG3K0VQSbF1BpHbRKxJA%3D%3D&trk=public_jobs_jserp-result_search-card,[],"Job Description

Are you detailed and meticulous who enjoys building your capabilities in a global organisation? We need employees, all eager to engage actively in building a successful department, valuing collaboration, quality and fun in the everyday life!

We are hiring for an internship from July 2024 with a minimum commitment of 3 months. Please indicate your available dates in your Cover Letter and submit your CV together with unofficial transcripts.


Core Responsibilities





Project Su"
Retail Sales Management Intern,Maybank Investment Banking Group,,2024-02-28,https://sg.linkedin.com/jobs/view/retail-sales-management-intern-at-maybank-investment-banking-group-3839785150?position=18&pageNum=0&refId=Tvtz9nXHpP3rcD6YENldsQ%3D%3D&trackingId=iQPkGdZhVn68IcuSOhgwdA%3D%3D&trk=public_jobs_jserp-result_search-card,[],"About Maybank Securities

Maybank Securities is a leading brokerage and investment bank across ASEAN. Maybank Securities provides services in corporate finance & advisory, debt markets, equity capital markets, derivatives, retail and institutional securities broking & research and Prime Brokerage.




This position reports directly to Head of Retail.




Job Description:

As a Retail Sales Management intern with Maybank Securities, you will have a unique opportunity to delve into the dynamic wor"
Asia Pacific - Regional Corporate Strategy Intern,Shiseido,,2024-02-19,https://sg.linkedin.com/jobs/view/asia-pacific-regional-corporate-strategy-intern-at-shiseido-3830336776?position=22&pageNum=0&refId=Tvtz9nXHpP3rcD6YENldsQ%3D%3D&trackingId=hkr4NIVNMqRduzDNbhpAAg%3D%3D&trk=public_jobs_jserp-result_search-card,[],"MAIN PURPOSE

Objective


To evaluate the price corridor that competitors have across APAC markets.
Analyse competitor’s price hierarchy across markets.
Price gap between Shiseido brands in respective markets.


Scope of work


Shiseido Brands: bShisieido & CPB
Competitors Brands: Estee Lauder, Lancome, La Mer, Guerlain
Markets: APAC markets, including Japan, HK, China.


Key Responsibilities


RESPONSIBILITIES 1
Data collection on competitors pricing across APAC markets.
Develop template for fu"
ANALYTICS & INSIGHTS MANAGEMENT INTERN - SEMESTER INTERN (6-MONTHS),Procter & Gamble,,2024-02-08,https://sg.linkedin.com/jobs/view/analytics-insights-management-intern-semester-intern-6-months-at-procter-gamble-3825487806?position=23&pageNum=0&refId=Tvtz9nXHpP3rcD6YENldsQ%3D%3D&trackingId=UH5kPIvTYlfIghw1Y%2FqVDw%3D%3D&trk=public_jobs_jserp-result_search-card,[],"Job Location

Singapore

Job Description

P&G is the largest consumer packaged goods company in the world. We have operations in over 75 countries, with 65 trusted brands that improve lives for 5 billion consumers worldwide. This brings many advantages, including the opportunity for our employees to enjoy a diverse and rewarding lifelong career filled with new and exciting challenges.

Are you energized by solving tough business problems that involve a mix of insights, unleashing growth opportun"
Intern Retail Merchandising & Marketing,Porsche Asia Pacific Pte Ltd,,2024-01-29,https://sg.linkedin.com/jobs/view/intern-retail-merchandising-marketing-at-porsche-asia-pacific-pte-ltd-3816642227?position=24&pageNum=0&refId=Tvtz9nXHpP3rcD6YENldsQ%3D%3D&trackingId=%2Bxxyc%2BcpVRj1Q0YAcxnR3Q%3D%3D&trk=public_jobs_jserp-result_search-card,[],"The future has many facets: for the courageous, it is opportunity.

The world is becoming increasingly digital, connected, but also more uncertain and volatile. Yet, the iconic German sports car brand Porsche sees this complex future as opportunity. “In the beginning I looked around and could not find quite the car I dreamed of. So I decided to build it myself.” With this aspiration, trailblazer Ferry Porsche set the guiding principles for Porsche now, and beyond – to be the brand for those who "
Web Intern,Epos Now,,2024-02-27,https://sg.linkedin.com/jobs/view/web-intern-at-epos-now-3840880267?position=25&pageNum=0&refId=Tvtz9nXHpP3rcD6YENldsQ%3D%3D&trackingId=1q1qjjRMveBFpwCE8PHRNQ%3D%3D&trk=public_jobs_jserp-result_search-card,[],"Job Description


Work with our marketing team on projects to enhance user experience.
Collaborate on website design and development, as well as content creation.
Monitor and report on website performance, including traffic and user engagement.
Create and update web content, graphics, and multimedia elements.
Research and stay updated on industry trends and best practices.
Assist the team regarding any ad-hoc marketing tasks.


Requirements


Pursuing or recently completed a diploma or degree in"
Product Management Intern,Univers,,2024-02-14,https://sg.linkedin.com/jobs/view/product-management-intern-at-univers-3830532593?position=29&pageNum=0&refId=Tvtz9nXHpP3rcD6YENldsQ%3D%3D&trackingId=0N7iq1rAKbuAyPgnBZPQBA%3D%3D&trk=public_jobs_jserp-result_search-card,[],"Univers provides the world’s most comprehensive decarbonization system. 

We help companies and countries optimize energy systems and reduce carbon emissions with accurate, reliable, and actionable decarbonization data. Our EnOS (Energy and Environment Operating System) platform connects on-the-ground operational technology and in-the-cloud intelligence to deliver real-time energy data and data-driven carbon monitoring, reporting, and abatement.

With 220 million sensors and smart devices connec"
"Internship, Centre for Impact Investing and Practices",Temasek Trust,,2024-03-01,https://sg.linkedin.com/jobs/view/internship-centre-for-impact-investing-and-practices-at-temasek-trust-3841370726?position=30&pageNum=0&refId=Tvtz9nXHpP3rcD6YENldsQ%3D%3D&trackingId=fNkQMRqo6voMNYhQImP0kw%3D%3D&trk=public_jobs_jserp-result_search-card,[],"About Us:

Established by Temasek Holdings in 2007, Temasek Trust is a steward of philanthropic endowments and gifts from Temasek and other donors. It strives to deliver sustainable funding for the long-term well-being and security of our communities. Temasek Trust provides governance and financial oversight of endowments for Temasek Foundation, Stewardship Asia Centre, Temasek Life Sciences Laboratory and Mandai Nature. The work at Temasek Trust supports a common purpose of doing good, upliftin"
Capital Markets Intern,ADDX,,2023-03-20,https://sg.linkedin.com/jobs/view/capital-markets-intern-at-addx-3562829289?position=31&pageNum=0&refId=Tvtz9nXHpP3rcD6YENldsQ%3D%3D&trackingId=FMMvvj1f3W6BG2EAIo5PBA%3D%3D&trk=public_jobs_jserp-result_search-card,[],"Who are we?




We are ADDX, the entry point into private markets, and we aim to democratize private market investments. As a team, we strive to build a future where everybody can access financial ecosystems easily, fairly, and safely. Our team’s belief is real economies benefit when capital flows freely and efficiently, especially in the private market space.




Why join us?




We have built the world’s first fully regulated platform for digital securities, licensed by the Monetary Authority "
Business Development Intern - [Lifestyle - Home & Living],Shopee,,2024-01-19,https://sg.linkedin.com/jobs/view/business-development-intern-lifestyle-home-living-at-shopee-3687551681?position=36&pageNum=0&refId=Tvtz9nXHpP3rcD6YENldsQ%3D%3D&trackingId=K4rafFaIxlmr9eZxpOncLQ%3D%3D&trk=public_jobs_jserp-result_search-card,[],"Job Description


Promoting and encouraging niche sellers to come on board the Shopee platform
Assist Key Account Managers (KAMs) in daily operational work related to campaigns and initiativesConduct competitor monitoring and research to better understand the competitor landscape of the various categories
Adopting a creative and innovative approach to problem solving


Requirements


Currently pursuing a Bachelor's Degree or Diploma in any related discipline
Positive, team-player, and energetic "
Customer Experience & Website Management Intern [Marketing],Maybank Investment Banking Group,,2024-02-16,https://sg.linkedin.com/jobs/view/customer-experience-website-management-intern-marketing-at-maybank-investment-banking-group-3832023206?position=37&pageNum=0&refId=Tvtz9nXHpP3rcD6YENldsQ%3D%3D&trackingId=iauNgoQ5bW6B%2F32DQABvPg%3D%3D&trk=public_jobs_jserp-result_search-card,[],"About Maybank Securities

Maybank Securities is a leading brokerage house and investment bank in ASEAN. Maybank Securities provides services in corporate finance, debt markets, equity capital markets, derivatives, retail and institutional securities broking and research.







Job Description:

Work with business to review and revamp content on the website.
Work with designers, product, marketing, sales, research, external influencers and other industry experts where necessary.
Adhere to intern"
Travel Retail- Consumer Insights Intern,Shiseido,,2024-03-01,https://sg.linkedin.com/jobs/view/travel-retail-consumer-insights-intern-at-shiseido-3840130229?position=38&pageNum=0&refId=Tvtz9nXHpP3rcD6YENldsQ%3D%3D&trackingId=zKL9JLYIAYq4WialtsdFFw%3D%3D&trk=public_jobs_jserp-result_search-card,[],"MAIN PURPOSE

Reporting directly to the Consumer Insights Manager, you will be responsible for working with the broader Consumer & Market Intelligence (CMI) team to deliver impactful research solutions to internal stakeholders.

Through this internship, you will be given hands-on opportunities to be involved in key research projects to learn and understand the process of qualitative and quantitative analysis. You will also be exposed to a diverse range of learning opportunities to develop both y"
"Intern, Learning & Development",Marriott International,,2024-02-16,https://sg.linkedin.com/jobs/view/intern-learning-development-at-marriott-international-3811207184?position=40&pageNum=0&refId=Tvtz9nXHpP3rcD6YENldsQ%3D%3D&trackingId=KA6TAQYzQrRVvnwrBV5HiQ%3D%3D&trk=public_jobs_jserp-result_search-card,[],"Job Number 24015293

Job Category Management Development Programs/Interns

Location Singapore Regional Office, 2 Harbourfront Place #06-08, Singapore, Singapore, Singapore VIEW ON MAP

Schedule Full-Time

Located Remotely? N

Relocation? N

Position Type Non-Management

CORPORATE INTERNSHIP PROGRAM

Marriott International, Inc. is seeking current university student who is passionate and keen to establish a long-term career in the hospitality industry. We create opportunities to develop our inter"
Computer Science Intern (Python) – Trading,Grasshopper,,2024-03-05,https://sg.linkedin.com/jobs/view/computer-science-intern-python-%E2%80%93-trading-at-grasshopper-3846510498?position=43&pageNum=0&refId=Tvtz9nXHpP3rcD6YENldsQ%3D%3D&trackingId=iZ3hub80hjW2W9RhbYnkJw%3D%3D&trk=public_jobs_jserp-result_search-card,[],"Job Description

Have you wondered what it’s like being part of the most competitive industry in the world? Do you aspire to be part of a brilliant diverse team of traders, technologists, and quants?

Responsibilities

You will be working closely with a senior team member to design, build and deploy a system that consists of various tools used by the team for both reporting and trading purposes. The application involves full-stack development from front-end to back-end. It also involves numerica"
Content Creator Intern,the LEGO Group,,2024-02-15,https://sg.linkedin.com/jobs/view/content-creator-intern-at-the-lego-group-3830473945?position=2&pageNum=0&refId=YyMgOujGa%2FlXT7tks8KNFg%3D%3D&trackingId=wCVqIPohbLyv7fNAYbBIzg%3D%3D&trk=public_jobs_jserp-result_search-card,[],"Job Description

Are you detailed and meticulous who enjoys building your capabilities in a global organisation? We need employees, all eager to engage actively in building a successful department, valuing collaboration, quality and fun in the everyday life!

We are hiring for a Content Creator Intern from July 2024 with a minimum commitment of 4 months. Please indicate your available dates in your Cover Letter and submit your CV together with unofficial transcripts.


Core Responsibilities




"
Social Responsibility Intern,the LEGO Group,,2024-02-23,https://sg.linkedin.com/jobs/view/social-responsibility-intern-at-the-lego-group-3837048516?position=4&pageNum=0&refId=YyMgOujGa%2FlXT7tks8KNFg%3D%3D&trackingId=2HXrZCqACzl0kW1PZgqUWw%3D%3D&trk=public_jobs_jserp-result_search-card,[],"Job Description

Are you an advocate of learning through play and believe that all children should have equal access to such opportunities?

Leverage your unique blend of skills and knowledge to support the LEGO Group’s efforts to be a global force for learning through play.


Core Responsibilities





Execution of various planning, administrative and logistical tasks, including the coordination with charity partners, in support of the implementation of the LEGO Group’s local community engageme"
Summer Internship (Singapore),Brevan Howard,,2024-03-05,https://sg.linkedin.com/jobs/view/summer-internship-singapore-at-brevan-howard-3843008745?position=7&pageNum=0&refId=YyMgOujGa%2FlXT7tks8KNFg%3D%3D&trackingId=A96AtarFBeNCLKDhFxR6Ig%3D%3D&trk=public_jobs_jserp-result_search-card,[],"The Firm:




Brevan Howard Asset Management is one of the leading absolute return/hedge fund managers, overseeing assets on behalf of institutional investors from around the world, including pension funds, endowments, insurance companies, government agencies, private banks and fund of funds.

Brevan Howard was founded in 2002 and launched its flagship global macro strategy in April 2003. The firm currently manages over $35bn and engages predominantly in discretionary directional and relative va"
Economics Intern (m/f/x),Toloka,,2024-03-02,https://sg.linkedin.com/jobs/view/economics-intern-m-f-x-at-toloka-3841412556?position=8&pageNum=0&refId=YyMgOujGa%2FlXT7tks8KNFg%3D%3D&trackingId=%2BWlEYI2D3HeRE3IkUVvs2Q%3D%3D&trk=public_jobs_jserp-result_search-card,[],"We are embarking on a large-scale project with a leading technology company to develop an AI system with a deep understanding of the humanities. This part-time, fully remote project offers a unique opportunity to influence the role of AI in philosophy, religion, languages, history, language arts, performing arts, and visual arts.

As an AI Tutor — Domain Expert, your work will involve creating and refining AI-generated content to ensure accuracy, relevance, and engagement across a wide array of "
Data Analyst Intern,foodpanda,,2024-02-26,https://sg.linkedin.com/jobs/view/data-analyst-intern-at-foodpanda-3537334509?position=9&pageNum=0&refId=YyMgOujGa%2FlXT7tks8KNFg%3D%3D&trackingId=KcatQi4YZ2GNN4Bo8NPr5Q%3D%3D&trk=public_jobs_jserp-result_search-card,[],"""To be the most loved everyday food and groceries destination!"" - that’s our mission at foodpanda (small ‘f’).

foodpanda is the largest food and grocery delivery platform in Asia, outside of China. Operating in more than 400 cities across 11 markets, we continue to expand and grow in our core food delivery business, as well as in new verticals like grocery deliveries, with a strong tech infrastructure at our core. From our restaurants-partners, cloud kitchens and cloud grocery stores — foodpand"
Intern Digital Business Management (Summer) - Porsche Services Singapore Pte Ltd,Porsche Asia Pacific Pte Ltd,,2024-02-07,https://sg.linkedin.com/jobs/view/intern-digital-business-management-summer-porsche-services-singapore-pte-ltd-at-porsche-asia-pacific-pte-ltd-3824643620?position=10&pageNum=0&refId=YyMgOujGa%2FlXT7tks8KNFg%3D%3D&trackingId=JSMWP6YP9Tc6BYF06TYEwQ%3D%3D&trk=public_jobs_jserp-result_search-card,[],"Support the management in daily operations, including the preparation of management-level presentations
Contribute to the development of our digital solution portfolio
Create sales reporting and generate data-driven recommendations
Take over partial projects and complete them independently
Participate in the coordination and communication of brand and sales activities
Assist in planning and organization of activations and events
Close liaison with vendors, internal and external stakeholders


Re"
Intern - Investment Risk Management,Eastspring Investments,,2023-11-17,https://sg.linkedin.com/jobs/view/intern-investment-risk-management-at-eastspring-investments-3767453274?position=14&pageNum=0&refId=YyMgOujGa%2FlXT7tks8KNFg%3D%3D&trackingId=B9Lm9Gg3xTqDRzK0g8fmiQ%3D%3D&trk=public_jobs_jserp-result_search-card,[],"Eastspring is a global asset manager with Asia at its core. We create a culture in which diversity is celebrated and inclusion assured, for our colleagues, customers, and partners. We provide a platform for our people to do their best work and make an impact to the business, and in exchange, we support our people's career ambitions. We pledge to make Eastspring a place where you can Connect, Grow and Succeed.

Key Accountabilities


Assist the Investment Risk Management (IRM) in day-to-day repor"
Training & Events Intern (6 months),LVMH,,2024-02-20,https://sg.linkedin.com/jobs/view/training-events-intern-6-months-at-lvmh-3830967414?position=15&pageNum=0&refId=YyMgOujGa%2FlXT7tks8KNFg%3D%3D&trackingId=NI%2F%2BCtbK1boNF1K49abHBQ%3D%3D&trk=public_jobs_jserp-result_search-card,[],"About the Company

LVMH is the world leader in luxury.

A family group founded in 1987 and headed by Chairman and CEO Bernard Arnault, LVMH is now home to 75 iconic Maisons, which embody a distinctive art de vivre blending heritage and modernity. With reported sales of 86.2 billion euros in 2023 and 6000 stores around the world, we are the only group present in all major sectors of the luxury industry: Wines & Spirits, Fashion & Leather Goods, Perfumes & Cosmetics, Watches & Jewelry, and Selecti"
"Intern, Private Banking [Immediate Start, For At Least 3 Months]",CIMB Singapore,,2024-02-15,https://sg.linkedin.com/jobs/view/intern-private-banking-immediate-start-for-at-least-3-months-at-cimb-singapore-3831023006?position=16&pageNum=0&refId=YyMgOujGa%2FlXT7tks8KNFg%3D%3D&trackingId=d91%2FECvcM8ILhVD6RKbWdQ%3D%3D&trk=public_jobs_jserp-result_search-card,[],"CIMB Group is a leading ASEAN universal bank, one of the largest Asian investment banks and one of the world's largest Islamic banks. CIMB Bank Singapore offers banking solutions catered to your every financial need with our consumer banking, commercial banking, Islamic banking and asset management products and services.




At CIMB, we believe that our people are our greatest assets in realising our vision of becoming Southeast Asia’s most valued universal bank. We offer an environment that is "
Business Management Intern,QCP,,2024-02-21,https://sg.linkedin.com/jobs/view/business-management-intern-at-qcp-3836035926?position=17&pageNum=0&refId=YyMgOujGa%2FlXT7tks8KNFg%3D%3D&trackingId=60S0J73EySZ2SlPMgpn9Cg%3D%3D&trk=public_jobs_jserp-result_search-card,[],"Established in 2017, QCP Capital is a digital assets trading firm and global market maker in options, headquartered in Singapore.

As one of the first digital assets trading firms in Singapore, QCP Capital brings to clients deep expertise gained from thriving through multiple market cycles. Our mission is to unlock new opportunities for clients at the forefront of crypto markets through providing institutional-grade liquidity, infrastructure and research.

An active early-stage crypto and blockc"
IT Intern,the LEGO Group,,2024-02-28,https://sg.linkedin.com/jobs/view/it-intern-at-the-lego-group-3791684924?position=21&pageNum=0&refId=YyMgOujGa%2FlXT7tks8KNFg%3D%3D&trackingId=zXZdDoFXXjs7cW25zzBEsg%3D%3D&trk=public_jobs_jserp-result_search-card,[],"Job Description

Are you eager to engage actively to build your capabilities in a global organisation? We need employees who value collaboration, quality and fun in the everyday life!

We are hiring for an internship with a minimum commitment of 6 months starting from January 2024. Please indicate your available dates in your Cover Letter and submit your CV together with unofficial transcripts.


Core Responsibilities





Provide end-user support by resolving incidents and completing service re"
Asia Pacific - Regional Corporate Strategy Intern,Shiseido,,2024-02-19,https://sg.linkedin.com/jobs/view/asia-pacific-regional-corporate-strategy-intern-at-shiseido-3830336776?position=23&pageNum=0&refId=YyMgOujGa%2FlXT7tks8KNFg%3D%3D&trackingId=OtysPSpMoTnLMAGOiV9iRA%3D%3D&trk=public_jobs_jserp-result_search-card,[],"MAIN PURPOSE

Objective


To evaluate the price corridor that competitors have across APAC markets.
Analyse competitor’s price hierarchy across markets.
Price gap between Shiseido brands in respective markets.


Scope of work


Shiseido Brands: bShisieido & CPB
Competitors Brands: Estee Lauder, Lancome, La Mer, Guerlain
Markets: APAC markets, including Japan, HK, China.


Key Responsibilities


RESPONSIBILITIES 1
Data collection on competitors pricing across APAC markets.
Develop template for fu"
ANALYTICS & INSIGHTS MANAGEMENT INTERN - SEMESTER INTERN (6-MONTHS),Procter & Gamble,,2024-02-08,https://sg.linkedin.com/jobs/view/analytics-insights-management-intern-semester-intern-6-months-at-procter-gamble-3825487806?position=24&pageNum=0&refId=YyMgOujGa%2FlXT7tks8KNFg%3D%3D&trackingId=ySHfTVVinGa%2FuL5uVG%2F0FA%3D%3D&trk=public_jobs_jserp-result_search-card,[],"Job Location

Singapore

Job Description

P&G is the largest consumer packaged goods company in the world. We have operations in over 75 countries, with 65 trusted brands that improve lives for 5 billion consumers worldwide. This brings many advantages, including the opportunity for our employees to enjoy a diverse and rewarding lifelong career filled with new and exciting challenges.

Are you energized by solving tough business problems that involve a mix of insights, unleashing growth opportun"
Intern Digital Business Development - Porsche Services Singapore Pte. Ltd,Porsche Asia Pacific Pte Ltd,,2024-02-26,https://sg.linkedin.com/jobs/view/intern-digital-business-development-porsche-services-singapore-pte-ltd-at-porsche-asia-pacific-pte-ltd-3839947102?position=27&pageNum=0&refId=YyMgOujGa%2FlXT7tks8KNFg%3D%3D&trackingId=WvW%2BSPJyfVJldxP2XQsYhw%3D%3D&trk=public_jobs_jserp-result_search-card,[],"Job Tasks:


Assist in the ramp-up of a digital product team, contributing to the development, operation, and deployment of solutions to several markets
Support in defining the team's strategic direction and ensuring alignment with stakeholders
Manage small independent sub-project responsibilities, demonstrating initiative and leadership potential
Perform data analysis and prepare PowerPoint presentations for stakeholder management and project updates
Assist in developing processes and procedure"
Marketing Intern,Maybank Investment Banking Group,,2024-02-23,https://sg.linkedin.com/jobs/view/marketing-intern-at-maybank-investment-banking-group-3836883541?position=28&pageNum=0&refId=YyMgOujGa%2FlXT7tks8KNFg%3D%3D&trackingId=bZIl1jh4D5tV3v%2BRSbAFpQ%3D%3D&trk=public_jobs_jserp-result_search-card,[],"About Maybank Securities

Maybank Securities (MSSG) is a leading brokerage and investment bank across ASEAN, Maybank Securities provides services in corporate finance & advisory, debt markets, equity capital markets, derivatives, retail and institutional securities broking & research and Prime Brokerage.




This position reports directly to Head of Marketing.




Job Description:

As a marketing intern with Maybank Securities, you will have a unique opportunity to delve into the dynamic world o"
